AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
8073,False,CAL FIRE Shasta-Trinity Unit,,2013,True,/incidents/2013/9/9/clover-fire/,"California Incident Management Team 5 will transition the Clover incident back to the Shasta-Trinity Unit this afternoon.
<p>All evacuations and road closures have been lifted. Remaining firefighters continue to mop up and patrol the fire perimeter while fire suppression repair and rehabilitation continues. Demobilization of firefighting resources continues.",,Shasta,45,12,3,30,2013-09-15T07:30:00Z,,False,True,,,6,40.498332,"Community of Igo, 10 miles southwest of Redding",-122.535496,True,Clover Fire,100,342,True,"The Clover Fire burned September 2013 near the community of Igo, 10 miles southwest of Redding, in Shasta County.","Clover Fire, September 2013, Shasta County, Igo, Redding",2013-09-09T12:32:00Z,Finalized,10,201,,,92af9783-eda9-4186-afe9-447f61a92636,2013-09-15T07:30:00Z,
7055,False,CAL FIRE San Diego Unit / Cleveland National Forest,,2013,True,/incidents/2013/7/6/chariot-fire/,,,San Diego,37,56,24,183,2013-07-15T06:15:00Z,,False,True,,9,12,32.95435,"off Sunrise Hwy, 9 miles southeast of Julian",-116.47381,True,Chariot Fire,100,2147,True,"Chariot Fire burned in July 2013 off Sunrise Hwy, 9 miles southeast of Julian in San Diego County. ","Chariot Fire, July 2013, Sunrise Hwy, Julian, San Diego County",2013-07-06T12:55:00Z,Finalized,9,149,,,ee19b2ec-a96a-4738-994e-fb3ea016e053,2013-07-15T06:15:00Z,24
6965,False,CAL FIRE Butte Unit,,2013,True,/incidents/2013/5/1/panther-fire/,"Firefighters continue to mop up within the fire area and improve the perimeter containment
lines for the next few days. However isolated pockets of downed heavy fuels, timber slash piles and dead trees, remain hot and are hampering mop-up operations. The Butte unit assuming control of fire at 0800 5/9/13.

<p>Road Closures: Unstable road surfaces due to the rain are impeding resource traffic and are becoming a dangerous situation. Therefore the L Line has been closed to all traffic. Because of this dangerous situation we ask that all remain out of the fire area except for fire personnel. The area between Highway 32 and Highway 36
known as the Deer Creek and Mill Creek recreation Area as well as the Ishi Wilderness are closed to the public. Highway 32 and Highway 36 will remain open but be aware of the heavy fire equipment traffic on those highways throughout the day.
<p>Additional Information: Sections of the fire have moved into fire suppression repairstages. More than 80
local government agencies have assisted with the suppression of this fire. Every Year the first full week of May is proclaimed “Wildfire Awareness Week”. This will serve as the final fact sheet for the incident.",,Tehama,52,53,22,131,2013-05-09T09:00:00Z,,False,True,,6,6,40.190062,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,True,Panther Fire,100,1811,True,"The Panther Fire burned in May 2013, off the 140K3 Line, 8 miles northwest of Butte Meadows in Butte County. ","Panther Fire, May 2013, Butte Meadows, Butte County",2013-05-01T09:12:00Z,Finalized,,,,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,2013-05-09T09:00:00Z,40
4346,False,CAL FIRE / USFS Los Padres National Forest,,2013,True,/incidents/2013/5/15/grand-fire/,"<p>Little to no fire behavior has been observed, however there are still isolated hot spots in the area requiring extinguishment and continued monitoring. Smoke could be visible for the next several weeks.  Demobilization will continue as needed through the remainder of the week.  </p>

<p>Road Closures:  Hungry Valley State Park and Gold Hill Road are scheduled to be reopened on 5/22/2013 during daylight hours.  Frazier Mtn. Road will remain closed until 5/24/2013.</p>",,Kern,"15,56",29,1,34,2013-05-21T19:45:00Z,,False,True,,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,True,Grand Fire,100,847,True,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ","Grand Fire, May 2013, Frazier Mountain Park, USFS Los Padres National Forest, Kern County, Ventura County",2013-05-15T12:50:00Z,Finalized,,,,,e0d038e9-0926-4c05-8317-ec7075a04b12,2013-05-21T19:45:00Z,12
4346,False,CAL FIRE / USFS Los Padres National Forest,,2013,True,/incidents/2013/5/15/grand-fire/,"<p>Little to no fire behavior has been observed, however there are still isolated hot spots in the area requiring extinguishment and continued monitoring. Smoke could be visible for the next several weeks.  Demobilization will continue as needed through the remainder of the week.  </p>

<p>Road Closures:  Hungry Valley State Park and Gold Hill Road are scheduled to be reopened on 5/22/2013 during daylight hours.  Frazier Mtn. Road will remain closed until 5/24/2013.</p>",,Ventura,"15,56",29,1,34,2013-05-21T19:45:00Z,,False,True,,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,True,Grand Fire,100,847,True,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ","Grand Fire, May 2013, Frazier Mountain Park, USFS Los Padres National Forest, Kern County, Ventura County",2013-05-15T12:50:00Z,Finalized,,,,,e0d038e9-0926-4c05-8317-ec7075a04b12,2013-05-21T19:45:00Z,12
3505,False,CAL FIRE Sonoma-Lake-Napa Unit,,2013,True,/incidents/2013/11/22/mccabe-fire/,Demobilization of equipment will continue.  We ask that the public drive cautiously as there will be a large amount of fire equipment on the surrounding roadways.,,Sonoma,49,8,,5,2013-11-27T18:15:00Z,,False,True,,,6,38.8167,"The Geysers area, 10 miles northeast of Geyserville",-122.8498,True,McCabe Fire,100,188,True,"The McCabe Fire is burning in The Geysers area, east of Cloverdale, Sonoma County.","The Geysers area, Cloverdale, Sonoma County, McCabe Fire, November 2013",2013-11-22T02:04:00Z,Finalized,,1,,,b4bc1480-cbb8-4ef2-8d5f-88a496d21d10,2013-11-27T18:15:00Z,
3166,False,CAL FIRE/Riverside County Fire ,,2013,True,/incidents/2013/5/1/summit-fire/,Crews are containing the mop up in the area.,,Riverside,33,36,5,62,2013-05-04T18:30:00Z,,False,True,,5,2,34.288877,Mias Canyon and Bluff Road in Banning,-116.941311,True,Summit Fire,100,726,True,The Summit Fire burned in May 2013 near Mias Canyon and Bluff Road in Banning in Riverside County. ,"Summit Fire, May 2013, Mias Canyon, Banning, Riverside County.",2013-05-01T12:38:00Z,Finalized,,1,,,a1b14be5-a8cf-4e40-8588-96becf4c5879,2013-05-04T18:30:00Z,7
3111,False,CAL FIRE Santa-Clara Unit,,2013,True,/incidents/2013/9/8/morgan-fire/,Firefighters will continue mopping up inside the fire containment lines as well as performing suppression repair. Demobilization of resources continuing. Fire resources are still in the communities so residents need to be aware and use caution when driving in the fire area.,,Contra Costa,7,8,5,3,2013-09-14T17:30:00Z,,False,True,,,,37.90757,"off Morgan Territory Road, Southeast of Clayton",-121.882582,True,Morgan Fire,100,231,True,"The Morgan Fire burned September 2013 off of Morgan Territory Road, southeast of Clayton, in Contra Costa County.","Morgan Fire, September 2013, Contra Costa County, Morgan Territory Road, Clayton",2013-09-08T13:08:00Z,Finalized,,,,,e33b2d80-7fec-4470-9e79-440d349b0d95,2013-09-14T17:30:00Z,4
2781,False,CAL FIRE San Diego Unit,25,2013,True,/incidents/2013/5/23/san-felipe-fire/,,,San Diego,37,33,25,73,2013-05-26T17:45:00Z,,False,True,,25,5,33.12111,"San Felipe Road, north of Highway 78, East of Julian",-116.52579,True,San Felipe Fire,100,911,True,"The San Felipe Fire burned in May 2013, off San Felipe Road, north of Highway 78, East of Julian in San Diego County. ","San Felipe Fire, May 2013, Highway 78, Julian, San Diego County",2013-05-23T12:20:00Z,Finalized,,,,,859479e3-918c-42c6-bb74-5fdc17930a16,2013-05-26T17:45:00Z,26
2462,False,CAL FIRE Butte Unit,,2013,True,/incidents/2013/8/16/swedes-fire/,Firefighters are continuing to strengthen existing containment lines and mop up hot spots within the fire area. Islands of unburned vegetation within the fire perimeter will be burning over the next few days and smoke from such may drift and settle in the valley areas. We ask that the citizens living in the areas affected by the fire be aware of the fire resources still working in the area and to drive safely. Be aware that fire suppression repair crews will be working in the area over the next few days. A Red Flag Warning remains in effect throughout the day for dry lightning storms that have moved into the area.,,Butte,4,33,28,95,2013-08-22T18:00:00Z,,False,True,,20,5,39.446268,southeast of Oroville,-121.38236,True,Swedes Fire,100,1484,True,The Swedes Fire burned in August 2013 southeast of Oroville in Butte County. ,"Swedes Fire, August 2013, southeast of Oroville, Butte County",2013-08-16T16:37:00Z,Finalized,,7,,,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,2013-08-22T18:00:00Z,25
2236,False,Camp Pendleton Marine Corps Base,,2013,False,/incidents/2013/10/5/deluz-fire/,,,San Diego,37,,,,2013-10-09T19:00:00Z,,False,True,,,,33.341,"On Camp Pendleton, west of Fallbrook",-117.3092,False,DeLuz Fire,100,,True,"The DeLuz Fire burned 2,236 acres in October 2013 on Camp Pendleton Marine Corps Base, east of Fallbrook in San Diego County,","Camp Pendleton Marine Corps Base, Fallbrook, San Diego County, October 2013, DeLuz Fire",2013-10-05T12:45:00Z,Finalized,,,,,9fb847ce-44c7-4a11-a733-a6cc82838671,2013-10-09T19:00:00Z,
2060,False,Sequoia National Forest,,2013,False,/incidents/2013/8/24/fish-fire/,,,Tulare,54,,,,2013-09-24T20:15:00Z,,False,True,,,,36.208,Golden Trout Wilderness on the Sequoia National Forest.,-118.444,False,Fish Fire,100,,True,The Fish Fire burned August 2013 in the Golden Trout Wilderness on the Sequoia National Forest in Tulare County.,"Fish Fire, August 2013, September 2013, Golden Trout Wilderness, Sequoia National Forest, Tulare County",2013-08-24T14:31:00Z,Finalized,,,,,a4de6058-c68c-4924-bfb5-dc8ecc3b54c0,2013-09-24T20:15:00Z,
1984,False,USFS Los Padres National Forest,,2013,False,/incidents/2013/5/27/white-fire/,,,Santa Barbara,42,,,,2013-05-30T19:30:00Z,,False,True,,,,34.55048,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",-119.82429,False,White Fire,100,,True,"The White Fire burned in May 2013, Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez on the Los Padres National Forest in Santa Barbara County. ","White Fire, May 2013, Lake Cachuma, Santa Ynez, Los Padres National Forest, Santa Barbara County",2013-05-27T14:45:00Z,Finalized,,,,,abc61995-8bea-4be1-aa49-ee378ab3baaa,2013-05-30T19:30:00Z,
1708,False,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,,2013,True,/incidents/2013/6/16/carstens-fire/,"<p>Firefighters continue to mop up and patrol for hot spots. Fire suppression rehabilitation to repair damage from fire line construction will be implemented. Road damage is being repaired from heavy firefighting traffic. Please drive slowly and allow large fire equipment to pass.
<p>The Natural Resources Conservation Service is available to assist private landowners with rehabilitating property affected by the fire. Fore more information, contact: 209-966-3431, or: www.ca.nrcs.usda.gov.",,Mariposa,22,2,,,2013-06-26T11:15:00Z,,False,True,,,1,37.58202,"Off Carstens Road, east of 140 in the Midpines area.",-119.91071,True,Carstens Fire,100,112,True,"The Carstens Fire started in June 2013 off Carstens Road, east of 140 in the Midpines area in Mariposa County.","Carstens Fire, June 2013, Midpines, Mariposa County, Carstens Road",2013-06-16T14:12:00Z,Finalized,,,,,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,2013-06-26T11:15:00Z,4
1383,False,Cleveland National Forest / CAL FIRE Riverside Unit,,2013,True,/incidents/2013/8/5/falls-fire/,,,Riverside,"33,",,,,2013-08-09T18:45:00Z,,False,True,,,,33.62236,"Ortega Highway, west of Lake Elsinoire",-117.40288,False,Falls Fire,100,,True,"The Falls Fire burned in August 2013 near Oretga Highway, west of Lake Elsinoire on the Cleveland National Forest in Riverisde County. ","Falls Fire, August 2013, Oretga Highway, Lake Elsinoire, Riverside County, Cleveland National Forest",2013-08-05T10:10:00Z,Finalized,,,,,4867ac70-663e-48f4-b9ae-ca0a486234ca,2013-08-09T18:45:00Z,
1271,False,CAL FIRE San Diego Unit,27,2013,True,/incidents/2013/5/26/general-fire/,"The fire is burning East towards the desert and away from homes.
",,San Diego,37,54,27,42,2013-05-31T06:15:00Z,,False,True,,27,6,33.04458,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",-116.5209,True,General Fire,100,1217,True,"The General Fire burned in May 2013, in the Banner Grade area south of Highway 78 and east of Highway 79, in San Diego County.","General Fire, May 2013, San Diego County, Banner Grade, Highway 78, Highway 79, Julian",2013-05-26T12:04:00Z,Finalized,,,,,07a5397c-a665-4f84-9a82-5f689cb2c8f3,2013-05-31T06:15:00Z,27
1070,False,Stanislaus National Forest,,2013,False,/incidents/2013/8/5/power-fire/,,,Tuolumne,55,,,,2013-08-14T08:30:00Z,,False,True,,,,38.25108,"Near Beardsley Lake, northeast of Sonora",-120.02778,False,Power Fire,100,,True,"The Power Fire burned in August 2013 near Beardsley Lake, northeast of Sonora on the Stanislaus National Forest in Tuolumne County. ","Power Fire, August 2013, Beardsley Lake, Sonora, Stanislaus National Forest, Tuolumne County",2013-08-05T06:00:00Z,Finalized,,,,,1e8441c2-f426-40b4-9f4f-3de9f7e232b9,2013-08-14T08:30:00Z,
917,False,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,,2013,False,/incidents/2013/12/16/pfeiffer-fire/,,,Monterey,27,,,,2013-12-20T20:00:00Z,,False,True,,,,0.0,Pfeiffer Ridge Road and Highway 1 near Big Sur,0.0,False,Pfeiffer Fire,100,,True,The Pfeiffer Fire off Pfeiffer Ridge Road and Highway 1 near Big Sur was 917 acres.,"Pfeiffer Fire, Pfeiffer, Big Sur, Highway 1, Pfeiffer Ridge Road, BEU",2013-12-16T00:20:00Z,Finalized,,,,,0681ea77-2e43-43c4-9ae9-34fb168c0c03,2013-12-20T20:00:00Z,
794,False,Sequoia National Forest,,2013,False,/incidents/2013/8/18/shirley-fire/,,,Kern,15,,,,2013-08-24T13:45:00Z,,False,True,,,,35.707,Lower Kern River Canyon area off Highway 178,-118.588,False,Shirley Fire,100,,True,The Shirley Fire burned in August 2013 off Lower Kern River Canyon area off Highway 178 on Sequoia National Forest in Kern County. ,"Shirley Fire, August 2013, Lower Kern River Canyon, Highway 178, Sequoia National Forest, Kern County",2013-08-18T23:12:00Z,Finalized,,,,,5421868e-52ba-4737-8169-325e0aa040e4,2013-08-24T13:45:00Z,
712,False,CAL FIRE / Kern County Fire / State Parks / US Forest Service,,2013,True,/incidents/2013/7/19/rancho-fire/,"Last night crews continued to patrol the lines. Late night precipitation assisted in
containment efforts with potential for more today. Today crews continued mopping up 100 plus feet into the perimeter as well continue rehab efforts. Additional thunderstorm activity is occurring nearby. A transition from the current Type 3 management team to a Type 4 team is expected for tomorrow. I5 open.
<p>The evacuation center will be located at Gorman School at 49847 Gorman School Rd.",Oak Knolls Road,Kern,15,20,20,37,2013-07-22T18:45:00Z,,False,True,,20,5,34.882,West side of Interstate 5 in Lebec (Kern County),-118.9194,True,Rancho Fire,100,502,True,"The Rancho Fire burned July 2013 west of I-5 in Lebec, in Kern County.","Rancho Fire, July 2013, Kern County, Lebec, I-5",2013-07-19T12:00:00Z,Finalized,,,,,591a56a5-e9c0-45a0-96bd-34098588c39b,2013-07-22T18:45:00Z,20
712,False,CAL FIRE/Los Angeles County ,,2013,True,/incidents/2013/5/17/lake-fire/,,,Los Angeles,19,,,,2013-05-18T19:00:00Z,,False,True,,,,34.49149,I-5 Southbound at Lake Hughes Road,-118.610044,False,Lake Fire,100,,True,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ","Lake Fire, Los Angeles County, I-5 Southbound, Lake Hughes Road, May 2013",2013-05-17T13:23:00Z,Finalized,,,,,39af7eac-c188-411f-8c8a-d165c5fca4a9,2013-05-18T19:00:00Z,
612,False,Kern County Fire,,2013,True,/incidents/2013/7/23/water-fire/,,,Kern,15,,,,2013-07-25T18:30:00Z,,False,True,,,,34.90327,West side of Interstate 5 at Tejon Ranch,-118.93388,False,Water Fire,100,,True,The Water Fire burned in July 2013 on the west side of Interstate 5 at Tejon Ranch in Kern County. ,"Water Fire, July 2013, West side of Interstate 5, Tejon Ranch, Kern County",2013-07-23T09:15:00Z,Finalized,,,,,86faecab-ed3a-4fce-95cf-89433a825c72,2013-07-25T18:30:00Z,
572,False,Eldorado National Forest,,2013,False,/incidents/2013/7/8/kyburz-fire/,,,El Dorado,9,,,,2013-07-11T18:30:00Z,,False,True,,,,38.774,"Off Hwy 50 at 30 Mile Tract, Kyburz",-120.298,False,Kyburz Fire,100,,True,The Kyburz Fire burned in July 2013 off Highway 50 at 30 Mile Tract in Kyburz on the El Dorado National Forest. ,"Kyburz Fire, July 2013, El Dorado National Forest, Highway 50, 30 Mile Tract, Kyburz, El Dorado County",2013-07-08T12:45:00Z,Finalized,,,,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,2013-07-11T18:30:00Z,
534,False,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,2013,True,/incidents/2013/6/28/mills-fire/,Highway 38 is open. <p> Firefighters continue to build containment lines and mop up hot spots.,,San Bernardino,36,29,29,29,2013-07-01T06:00:00Z,,False,True,,29,,34.071556,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",-117.048397,True,Mills Fire,100,282,True,"The Mills Fire burned in June and July 2013 south og Highway 38 and Bryant Street, northwest of Yucaipa in San Bernardino County. ","Mills Fire, June 2013, July 2013, Highway 38, Bryant Street, Yucaipa, San Bernardino County ",2013-06-28T14:30:00Z,Finalized,1,0,,,6011819c-19ac-46c2-aa48-0ee8be0e48c0,2013-07-01T06:00:00Z,29
513,False,Plumas National Forest,,2013,False,/incidents/2013/8/18/plumas-lightning-complex-hough/,,,Plumas,32,,,,2013-08-25T13:15:00Z,,False,True,,,,40.00842,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,-120.764666,False,Plumas Lightning Complex (Hough),100,,True,The Plumas Lightning Complex burned in August 2013 in the Keddie Ridge/North Arm areas of Indian Valley near Taylorsville on the Plumas National Forest in Plumas County. ,"Plumas Lightning Complex, August 2013, Keddie Ridge, North Arm, Indian Valley, Taylorsville, Plumas County, Plumas National Forest",2013-08-18T18:30:00Z,Finalized,,,,,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,2013-08-25T13:15:00Z,
510,False,CAL FIRE/Riverside County Fire,,2013,True,/incidents/2013/5/4/gorgonio-fire/,,,Riverside,33,,,,2013-05-05T18:45:00Z,,False,True,,,,33.894055,"Highway 243, south of Banning and north of Pine Cove",-116.855019,False,Gorgonio Fire,100,,True,"The Gorgonio Fire burned in May 2013 off Highway 243, south of Banning and north of Pine Cove, in Riverside County. ","Gorgonio Fire, May 2013, Banning, Highway 243, Riverside County, Pine Cove",2013-05-04T11:43:00Z,Finalized,,,,,958ce6d2-97f9-4848-8620-d14ab87f329d,2013-05-05T18:45:00Z,
502,False,CAL FIRE Lassen-Modoc Unit,,2013,True,/incidents/2013/7/3/fox-fire-formally-3-7-fire/,,,Modoc,25,,,,2013-07-05T18:30:00Z,,False,True,,,,41.2415,5 miles northwest of Aiden,-121.035,False,Fox Fire (formally 3-7 Fire),100,,True,The Fox Fire (formerly known as 3-7 Fire) burned in July 2013 5 miles northwest of Aiden in Modoc County. ,"Fox Fire, 3-7 Fire, July 2013, Aiden, Modoc County",2013-07-03T22:56:00Z,Finalized,,,,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,2013-07-05T18:30:00Z,
500,False,Los Padres National Forest,,2013,False,/incidents/2013/6/1/branch-fire/,,,San Luis Obispo,40,,,,2013-06-03T18:30:00Z,,False,True,,,,35.15832,"west of the Carrizo Plain, Los Padres National Forest",-120.05131,False,Branch Fire,100,,True,The Branch Fire burned in June 2013 west of the Carrizo Plain on the Los Padres National Forest in San Luis Obispo County. ,"Branch Fire, June 2013, Los Padres National Forest, Carrizo Plain, San Luis Obispo County",2013-06-01T17:27:00Z,Finalized,,,,,213dc89e-9f29-4480-91a6-aec5fb694999,2013-06-03T18:30:00Z,
492,False,CAL FIRE Santa Clara Unit,,2013,True,/incidents/2013/7/1/kirker-fire/,,,Contra Costa,7,,,,2013-07-01T18:40:00Z,,False,True,,,,37.96866,Kirker Pass Road south of Pittsburg,-121.91453,False,Kirker Fire,100,,True,The Kirker Fire burned in July 2013 off Kirker Pass Road south of Pittsburg in Contra Costa County. ,"Kirker Fire, July 2013, Kirker Pass Road, Pittsburg, Contra Costa County",2013-07-01T13:19:00Z,Finalized,,,,,522114fe-ada8-49a9-9bb2-5891103ff0ca,2013-07-01T18:40:00Z,
